method,sequence_length,trial,decode_step,generated_token_position,generated_token_id,latency_ms,phase
layer_offload,4096,5,6,7,15,19.565709866583347,steady
layer_offload,4096,5,7,8,15,19.54092225059867,steady
layer_offload,4096,5,8,9,15,21.74338372424245,steady
layer_offload,4096,5,9,10,15,19.80158593505621,steady
layer_offload,4096,5,10,11,15,19.504155963659286,steady
layer_offload,4096,5,11,12,15,19.557266030460596,steady
layer_offload,4096,5,12,13,15,19.50871292501688,steady
layer_offload,4096,5,13,14,15,19.47952900081873,steady
layer_offload,4096,5,14,15,15,19.504766911268234,steady
layer_offload,4096,5,15,16,15,19.518648274242878,steady
layer_offload,4096,5,16,17,15,19.50015965849161,steady
layer_offload,4096,5,17,18,15,19.519219174981117,steady
layer_offload,4096,5,18,19,15,19.50155198574066,steady
layer_offload,4096,5,19,20,15,19.538328051567078,steady
layer_offload,4096,5,20,21,15,19.529545214027166,steady
layer_offload,4096,5,21,22,15,19.52752098441124,steady
layer_offload,4096,5,22,23,15,19.554181955754757,steady
layer_offload,4096,5,23,24,15,19.52980412170291,steady
layer_offload,4096,5,24,25,15,19.518516957759857,steady
layer_offload,4096,5,25,26,15,19.522374030202627,steady
layer_offload,4096,5,26,27,15,22.359917405992746,steady
layer_offload,4096,5,27,28,15,20.03414835780859,steady
layer_offload,4096,5,28,29,15,19.51446244493127,steady
layer_offload,4096,5,29,30,15,19.70049273222685,steady
layer_offload,4096,5,30,31,15,19.5213221013546,steady
layer_offload,4096,5,31,32,15,19.550396129488945,steady
standard,8192,1,1,2,34187,16.66668290272355,first_step
standard,8192,1,2,3,198,15.982557088136673,steady
standard,8192,1,3,4,220,16.041046008467674,steady
standard,8192,1,4,5,16,16.023017931729555,steady
standard,8192,1,5,6,15,16.21404802426696,steady
standard,8192,1,6,7,15,16.151331830769777,steady
standard,8192,1,7,8,15,15.986823942512274,steady
standard,8192,1,8,9,15,16.032143030315638,steady
standard,8192,1,9,10,15,16.099023167043924,steady
standard,8192,1,10,11,15,16.048716846853495,steady
standard,8192,1,11,12,15,15.992562286555767,steady
standard,8192,1,12,13,15,16.075707972049713,steady
standard,8192,1,13,14,15,16.050319653004408,steady
standard,8192,1,14,15,15,16.07818203046918,steady
standard,8192,1,15,16,15,16.129749827086926,steady
standard,8192,1,16,17,15,16.02585194632411,steady
standard,8192,1,17,18,15,15.99540701135993,steady
standard,8192,1,18,19,15,15.957579016685486,steady
standard,8192,1,19,20,15,16.270963940769434,steady
standard,8192,1,20,21,15,16.065252013504505,steady
standard,8192,1,21,22,15,16.067064832895994,steady
standard,8192,1,22,23,15,16.043770126998425,steady
standard,8192,1,23,24,15,16.01758087053895,steady
standard,8192,1,24,25,15,16.067635733634233,steady
standard,8192,1,25,26,15,16.582703683525324,steady
standard,8192,1,26,27,15,15.98339807242155,steady
standard,8192,1,27,28,15,15.975777059793472,steady
standard,8192,1,28,29,15,16.0095882602036,steady
standard,8192,1,29,30,15,15.97265200689435,steady
standard,8192,1,30,31,15,16.05631923303008,steady
standard,8192,1,31,32,15,16.08793716877699,steady
standard,8192,2,1,2,34187,16.72184467315674,first_step
standard,8192,2,2,3,198,15.987304039299488,steady
standard,8192,2,3,4,220,16.001665964722633,steady
standard,8192,2,4,5,16,16.21392695233226,steady
standard,8192,2,5,6,15,16.08357997611165,steady
standard,8192,2,6,7,15,16.16916013881564,steady
standard,8192,2,7,8,15,16.164641827344894,steady
standard,8192,2,8,9,15,16.020354814827442,steady
standard,8192,2,9,10,15,16.043820418417454,steady
standard,8192,2,10,11,15,16.069608740508556,steady
standard,8192,2,11,12,15,16.233686823397875,steady
standard,8192,2,12,13,15,16.083240043371916,steady
standard,8192,2,13,14,15,16.04028418660164,steady
standard,8192,2,14,15,15,16.042347066104412,steady
standard,8192,2,15,16,15,20.464567001909018,steady
standard,8192,2,16,17,15,16.73034904524684,steady
standard,8192,2,17,18,15,16.159384045749903,steady
standard,8192,2,18,19,15,16.02628268301487,steady
standard,8192,2,19,20,15,16.051962040364742,steady
standard,8192,2,20,21,15,16.048237215727568,steady
standard,8192,2,21,22,15,16.10741578042507,steady
standard,8192,2,22,23,15,16.045832075178623,steady
standard,8192,2,23,24,15,16.0876358859241,steady
standard,8192,2,24,25,15,16.070829704403877,steady
standard,8192,2,25,26,15,16.301108989864588,steady
standard,8192,2,26,27,15,16.121778171509504,steady
standard,8192,2,27,28,15,16.21037209406495,steady
standard,8192,2,28,29,15,16.028035432100296,steady
standard,8192,2,29,30,15,16.204532235860825,steady
standard,8192,2,30,31,15,16.065542120486498,steady
standard,8192,2,31,32,15,16.08202699571848,steady
standard,8192,3,1,2,34187,16.737228259444237,first_step
standard,8192,3,2,3,198,16.06388995423913,steady
standard,8192,3,3,4,220,16.0278151743114,steady
standard,8192,3,4,5,16,15.968656167387962,steady
standard,8192,3,5,6,15,15.96151478588581,steady
standard,8192,3,6,7,15,15.984510071575642,steady
standard,8192,3,7,8,15,16.06075605377555,steady
standard,8192,3,8,9,15,16.007946338504553,steady
standard,8192,3,9,10,15,15.981344971805811,steady
standard,8192,3,10,11,15,16.033684369176626,steady
standard,8192,3,11,12,15,15.978261362761259,steady
standard,8192,3,12,13,15,16.017168760299683,steady
standard,8192,3,13,14,15,16.04549214243889,steady
standard,8192,3,14,15,15,16.058311332017183,steady
standard,8192,3,15,16,15,16.159934923052788,steady
standard,8192,3,16,17,15,16.12558262422681,steady
standard,8192,3,17,18,15,16.038562171161175,steady
standard,8192,3,18,19,15,16.139023005962372,steady
standard,8192,3,19,20,15,16.113463789224625,steady
standard,8192,3,20,21,15,15.989908017218113,steady
standard,8192,3,21,22,15,16.028487123548985,steady
standard,8192,3,22,23,15,16.05510711669922,steady
standard,8192,3,23,24,15,16.073033213615417,steady
standard,8192,3,24,25,15,16.151502262800932,steady
standard,8192,3,25,26,15,16.009957995265722,steady
standard,8192,3,26,27,15,15.988865867257118,steady
standard,8192,3,27,28,15,15.923226717859507,steady
standard,8192,3,28,29,15,16.032082028687,steady
standard,8192,3,29,30,15,16.077789943665266,steady
standard,8192,3,30,31,15,16.063708811998367,steady
standard,8192,3,31,32,15,15.98160620778799,steady
standard,8192,4,1,2,34187,16.751859802752733,first_step
standard,8192,4,2,3,198,15.925990883260965,steady
standard,8192,4,3,4,220,15.964618884027004,steady
standard,8192,4,4,5,16,15.90271620079875,steady
standard,8192,4,5,6,15,16.056798864156008,steady
standard,8192,4,6,7,15,15.998039860278368,steady
standard,8192,4,7,8,15,15.981374774128199,steady
standard,8192,4,8,9,15,16.045080963522196,steady
standard,8192,4,9,10,15,16.097609885036945,steady
standard,8192,4,10,11,15,16.031670849770308,steady
standard,8192,4,11,12,15,15.964197926223278,steady
standard,8192,4,12,13,15,15.96873626112938,steady
standard,8192,4,13,14,15,15.981235075742006,steady
standard,8192,4,14,15,15,15.95667703077197,steady
standard,8192,4,15,16,15,16.02772530168295,steady
standard,8192,4,16,17,15,16.044980846345425,steady
standard,8192,4,17,18,15,15.974914655089378,steady
standard,8192,4,18,19,15,15.948794782161713,steady
standard,8192,4,19,20,15,16.01717807352543,steady
