name,direction,pinned,non_blocking,dedicated_stream,size_mib,bytes,trial,wall_ms,cuda_ms,wall_gib_per_s,cuda_gib_per_s
h2d_pinned_nonblocking_default,h2d,True,True,False,4,4194304,19,0.8923942223191261,0.8756160140037537,4.377269487299637,4.461144996810502
h2d_pinned_nonblocking_default,h2d,True,True,False,4,4194304,20,0.891572330147028,0.8748480081558228,4.381304654615993,4.465061317604603
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,1,0.18210289999842644,0.16627199947834015,21.45078414475417,23.49313180965781
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,2,0.18355576321482658,0.16700799763202667,21.280998926894362,23.38959843472136
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,3,0.18490897491574287,0.1679680049419403,21.125259072903052,23.25591710963187
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,4,0.18548965454101562,0.1685120016336441,21.05912596401028,23.180841495743657
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,5,0.1862109638750553,0.16883200407028198,20.977551045925704,23.136904768209067
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,6,0.18298625946044922,0.16659200191497803,21.347231270358307,23.448004436573108
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,7,0.1835268922150135,0.16681599617004395,21.284346685408796,23.416519336779686
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,8,0.18335599452257156,0.16636799275875092,21.304184846376163,23.479576421075336
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,9,0.18458766862750053,0.16710400581359863,21.16203118574971,23.37616014039393
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,10,0.1831059344112873,0.16652800142765045,21.333279079999084,23.45701603641178
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,11,0.1825336366891861,0.16652800142765045,21.400165311182995,23.45701603641178
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,12,0.18243538215756416,0.16646400094032288,21.41169083432667,23.466034565637923
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,13,0.18223421648144722,0.16607999801635742,21.435326885484674,23.520291706742846
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,14,0.18404703587293625,0.16723200678825378,21.224194029926274,23.35826780423693
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,15,0.1829252578318119,0.16659200191497803,21.35435011162618,23.448004436573108
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,16,0.18204376101493835,0.16604800522327423,21.45775267562977,23.52482340722801
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,17,0.1834058202803135,0.16672000288963318,21.29839715026367,23.43000199313753
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,18,0.18291594460606575,0.1664319932460785,21.35543737541655,23.47054748196402
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,19,0.18494902178645134,0.16819199919700623,21.120684836658903,23.224945411490953
