method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
stagekv_sync_r4,sync,4,4096,3,6,decode_steady,220,25.152656249701977,25.147584915161133,0.0
stagekv_sync_r4,sync,4,4096,3,7,decode_steady,16,25.127679109573364,25.122848510742188,0.0
stagekv_sync_r4,sync,4,4096,3,8,decode_steady,15,25.12197894975543,25.11667251586914,0.0
stagekv_sync_r4,sync,4,4096,3,9,decode_steady,15,25.038592983037233,25.03446388244629,0.0
stagekv_sync_r4,sync,4,4096,3,10,decode_steady,4,25.120976846665144,25.11667251586914,0.0
stagekv_sync_r4,sync,4,4096,3,11,decode_steady,220,25.17648134380579,25.171968460083008,0.0
stagekv_sync_r4,sync,4,4096,3,12,decode_steady,16,25.102001149207354,25.09721565246582,0.0
stagekv_sync_r4,sync,4,4096,3,13,decode_steady,15,25.149270426481962,25.14463996887207,0.0
stagekv_sync_r4,sync,4,4096,3,14,decode_steady,15,25.15558199957013,25.151296615600586,0.0
stagekv_sync_r4,sync,4,4096,3,15,decode_steady,4,25.437550153583288,25.432064056396484,0.0
stagekv_sync_r4,sync,4,4096,3,16,decode_steady,220,25.18347417935729,25.179136276245117,0.0
stagekv_sync_r4,sync,4,4096,3,17,decode_steady,16,25.254056323319674,25.249727249145508,0.0
stagekv_sync_r4,sync,4,4096,3,18,decode_steady,15,25.538187939673662,25.53343963623047,0.0
stagekv_sync_r4,sync,4,4096,3,19,decode_steady,15,25.53773717954755,25.532512664794922,0.0
stagekv_sync_r4,sync,4,4096,3,20,decode_steady,4,25.503072887659073,25.498624801635742,0.0
stagekv_sync_r4,sync,4,4096,3,21,decode_steady,220,25.3349170088768,25.330656051635742,0.0
stagekv_sync_r4,sync,4,4096,3,22,decode_steady,16,25.50077810883522,25.49555206298828,0.0
stagekv_sync_r4,sync,4,4096,3,23,decode_steady,15,25.42524691671133,25.41961669921875,0.0
stagekv_sync_r4,sync,4,4096,3,24,decode_steady,15,25.375934783369303,25.370912551879883,0.0
stagekv_sync_r4,sync,4,4096,3,25,decode_steady,4,25.494517292827368,25.490432739257812,0.0
stagekv_sync_r4,sync,4,4096,3,26,decode_steady,220,25.419665966182947,25.41561508178711,0.0
stagekv_sync_r4,sync,4,4096,3,27,decode_steady,16,25.39904834702611,25.394176483154297,0.0
stagekv_sync_r4,sync,4,4096,3,28,decode_steady,15,25.44686710461974,25.443071365356445,0.0
stagekv_sync_r4,sync,4,4096,3,29,decode_steady,15,25.515004992485046,25.510719299316406,0.0
stagekv_sync_r4,sync,4,4096,3,30,decode_steady,4,25.606957264244556,25.602975845336914,0.0
stagekv_sync_r4,sync,4,4096,3,31,decode_steady,220,25.476411916315556,25.470975875854492,0.0
stagekv_sync_r4,sync,4,4096,3,32,decode_steady,16,25.42243106290698,25.417728424072266,0.0
stagekv_async_r0,async,0,4096,3,1,prefill_ttft,220,3905.826878733933,3905.84326171875,0.0
stagekv_async_r0,async,0,4096,3,2,decode_first,16,3386.700721923262,3386.715087890625,3260.948633313179
stagekv_async_r0,async,0,4096,3,3,decode_steady,15,2791.942061856389,2791.9521484375,2577.5445984601974
stagekv_async_r0,async,0,4096,3,4,decode_steady,15,3301.042351871729,3301.054443359375,3162.0792142152786
stagekv_async_r0,async,0,4096,3,5,decode_steady,4,2997.970906086266,2997.98193359375,2375.9085521698
stagekv_async_r0,async,0,4096,3,6,decode_steady,220,3002.863680012524,3002.875732421875,2785.367244720459
stagekv_async_r0,async,0,4096,3,7,decode_steady,16,3199.3046370334923,3199.317626953125,2816.314223766327
stagekv_async_r0,async,0,4096,3,8,decode_steady,15,3499.9445509165525,3499.958251953125,3137.8326729536057
stagekv_async_r0,async,0,4096,3,9,decode_steady,15,4095.6805017776787,4095.676513671875,3693.7091193199158
stagekv_async_r0,async,0,4096,3,10,decode_steady,4,4277.724917978048,4204.47021484375,4021.7874369621277
stagekv_async_r0,async,0,4096,3,11,decode_steady,220,3895.2216622419655,3895.23828125,3449.845442533493
stagekv_async_r0,async,0,4096,3,12,decode_steady,16,5316.773351747543,5316.79833984375,4799.219473719597
stagekv_async_r0,async,0,4096,3,13,decode_steady,15,4497.893169056624,4421.75830078125,4140.240594863892
stagekv_async_r0,async,0,4096,3,14,decode_steady,15,4800.961553119123,4800.41064453125,4504.298814535141
stagekv_async_r0,async,0,4096,3,15,decode_steady,4,4494.000512175262,4401.56494140625,4106.210711479187
stagekv_async_r0,async,0,4096,3,16,decode_steady,220,3419.521499425173,3419.135009765625,3192.5687457323074
stagekv_async_r0,async,0,4096,3,17,decode_steady,16,4223.500044085085,4205.109375,3879.313150882721
stagekv_async_r0,async,0,4096,3,18,decode_steady,15,3308.00363374874,3307.62548828125,3268.880795240402
stagekv_async_r0,async,0,4096,3,19,decode_steady,15,4795.800499618053,4795.26806640625,4397.968737602234
stagekv_async_r0,async,0,4096,3,20,decode_steady,4,3093.688845168799,3093.34912109375,2962.1758671998978
stagekv_async_r0,async,0,4096,3,21,decode_steady,220,2880.7888799346983,2880.47314453125,2651.182934522629
stagekv_async_r0,async,0,4096,3,22,decode_steady,16,2610.5273230932653,2610.24267578125,2191.6068888902664
stagekv_async_r0,async,0,4096,3,23,decode_steady,15,3279.561121016741,3279.2060546875,2978.1551522016525
stagekv_async_r0,async,0,4096,3,24,decode_steady,15,2492.837023921311,2399.816650390625,1804.328717827797
stagekv_async_r0,async,0,4096,3,25,decode_steady,4,2398.6631873995066,2398.40478515625,1874.1900411844254
stagekv_async_r0,async,0,4096,3,26,decode_steady,220,2502.4897600524127,2502.221923828125,2179.4706055521965
stagekv_async_r0,async,0,4096,3,27,decode_steady,16,3089.880507439375,3089.55126953125,2759.978577375412
stagekv_async_r0,async,0,4096,3,28,decode_steady,15,2514.0957506373525,2504.094482421875,1909.3996114730835
stagekv_async_r0,async,0,4096,3,29,decode_steady,15,2415.537927299738,2404.1513671875,2235.2117688059807
stagekv_async_r0,async,0,4096,3,30,decode_steady,4,3295.8306120708585,3284.194580078125,2845.992497742176
stagekv_async_r0,async,0,4096,3,31,decode_steady,220,2691.151252016425,2683.45361328125,2467.3494547605515
stagekv_async_r0,async,0,4096,3,32,decode_steady,16,94.39663589000702,94.38310241699219,31.47055995464325
stagekv_async_r1,async,1,4096,3,1,prefill_ttft,220,3075.81430580467,3075.495849609375,0.0
stagekv_async_r1,async,1,4096,3,2,decode_first,16,1889.506922569126,1889.3104248046875,1788.0230977535248
stagekv_async_r1,async,1,4096,3,3,decode_steady,15,1700.6761799566448,1700.4981689453125,1656.4802612364292
stagekv_async_r1,async,1,4096,3,4,decode_steady,15,1896.70749893412,1896.510498046875,1541.1169623732567
stagekv_async_r1,async,1,4096,3,5,decode_steady,4,1795.6313458271325,1779.094482421875,1478.1571676135063
stagekv_async_r1,async,1,4096,3,6,decode_steady,220,1880.3683733567595,1808.7000732421875,1679.7822473049164
stagekv_async_r1,async,1,4096,3,7,decode_steady,16,1907.3321581818163,1907.1375732421875,1778.716858804226
stagekv_async_r1,async,1,4096,3,8,decode_steady,15,2094.427459873259,2094.211669921875,1760.8743959069252
stagekv_async_r1,async,1,4096,3,9,decode_steady,15,2300.725242123008,2300.49072265625,2261.531951248646
stagekv_async_r1,async,1,4096,3,10,decode_steady,4,1897.007501218468,1896.8125,1794.820698440075
stagekv_async_r1,async,1,4096,3,11,decode_steady,220,2203.9106702432036,2203.68798828125,2121.472801208496
stagekv_async_r1,async,1,4096,3,12,decode_steady,16,2799.1904099471867,2724.431884765625,2526.6261398792267
stagekv_async_r1,async,1,4096,3,13,decode_steady,15,2896.910030860454,2821.932861328125,2718.5470432043076
stagekv_async_r1,async,1,4096,3,14,decode_steady,15,2516.872647218406,2516.6171875,2449.958695292473
stagekv_async_r1,async,1,4096,3,15,decode_steady,4,2579.0927917696536,2504.197265625,2242.2155163884163
stagekv_async_r1,async,1,4096,3,16,decode_steady,220,2095.222586300224,2095.015869140625,1878.2678656578064
stagekv_async_r1,async,1,4096,3,17,decode_steady,16,2416.3461509160697,2416.108642578125,2097.482663691044
stagekv_async_r1,async,1,4096,3,18,decode_steady,15,2776.071016676724,2699.562744140625,2422.584942370653
stagekv_async_r1,async,1,4096,3,19,decode_steady,15,2894.5510927587748,2894.271484375,2279.1347313672304
stagekv_async_r1,async,1,4096,3,20,decode_steady,4,2602.091790176928,2601.840576171875,2562.719586253166
stagekv_async_r1,async,1,4096,3,21,decode_steady,220,2197.132407221943,2196.920166015625,2069.9067999720573
stagekv_async_r1,async,1,4096,3,22,decode_steady,16,1981.214047409594,1981.02294921875,1731.5136689543724
stagekv_async_r1,async,1,4096,3,23,decode_steady,15,1685.4422790929675,1685.2786865234375,1457.2076825201511
stagekv_async_r1,async,1,4096,3,24,decode_steady,15,1882.5670881196856,1882.3809814453125,1645.173854291439
stagekv_async_r1,async,1,4096,3,25,decode_steady,4,1897.2418317571282,1897.06103515625,1669.0484201908112
stagekv_async_r1,async,1,4096,3,26,decode_steady,220,2398.8841800019145,2398.656494140625,2264.103731036186
stagekv_async_r1,async,1,4096,3,27,decode_steady,16,1893.8467409461737,1893.65966796875,1758.3605479002
stagekv_async_r1,async,1,4096,3,28,decode_steady,15,1919.861190021038,1919.681884765625,1678.794079720974
stagekv_async_r1,async,1,4096,3,29,decode_steady,15,3002.6386911049485,3002.39453125,2859.9673657417297
stagekv_async_r1,async,1,4096,3,30,decode_steady,4,2695.5902599729598,2695.338623046875,2390.479362845421
stagekv_async_r1,async,1,4096,3,31,decode_steady,220,1997.5183070637286,1997.331298828125,1403.2186214327812
stagekv_async_r1,async,1,4096,3,32,decode_steady,16,83.05679401382804,83.04505920410156,60.09862393140793
stagekv_async_r2,async,2,4096,3,1,prefill_ttft,220,3103.18855708465,3102.90234375,0.0
stagekv_async_r2,async,2,4096,3,2,decode_first,16,3506.4587048254907,3506.13720703125,3261.501145362854
stagekv_async_r2,async,2,4096,3,3,decode_steady,15,2295.5878074280918,2295.372802734375,1972.6919043064117
stagekv_async_r2,async,2,4096,3,4,decode_steady,15,1907.1251433342695,1906.947021484375,1678.312706708908
stagekv_async_r2,async,2,4096,3,5,decode_steady,4,1594.1030150279403,1593.956298828125,1465.7434611320496
stagekv_async_r2,async,2,4096,3,6,decode_steady,220,1698.258554097265,1698.10302734375,1569.278303861618
stagekv_async_r2,async,2,4096,3,7,decode_steady,16,1503.3602537587285,1503.2236328125,1364.780570268631
stagekv_async_r2,async,2,4096,3,8,decode_steady,15,1495.4661950469017,1495.329833984375,1456.7800271511078
stagekv_async_r2,async,2,4096,3,9,decode_steady,15,2097.612260840833,2097.42236328125,1775.0420899391174
